Code,Class
0,No Data
11,Unclassified
12,Unclassified
20,Water
30,Exposed Land
33,Built-up
34,Built-up
50,Shrubland
51,Shrubland
52,Shrubland
80,Wetland
81,Wetland
82,Wetland
83,Wetland
100,"Grassland, Native Grass"
110,"Grassland, Native Grass"
121,Annual Cropland
122,Perennial Cropland and Pasture
210,Coniferous Forest
211,Coniferous Forest
212,Coniferous Forest
213,Coniferous Forest
220,Deciduous Forest
221,Deciduous Forest
222,Deciduous Forest
223,Deciduous Forest
230,Mixed Forest
231,Mixed Forest
232,Mixed Forest
