Code,Classe
0,Nulle
11,Non classifiée
12,Non classifiée
20,Eau
30,Sols nus
33,Milieu urbain/zones bâties
34,Milieu urbain/zones bâties
50,Arbustaie
51,Arbustaie
52,Arbustaie
80,Terres humides
81,Terres humides
82,Terres humides
83,Terres humides
100,Prairies
110,Prairies
121,Cultures annuelles
122,Cultures pérennes et pâturages
210,Forêt de conifères
211,Forêt de conifères
212,Forêt de conifères
213,Forêt de conifères
220,Forêt de feuillus
221,Forêt de feuillus
222,Forêt de feuillus
223,Forêt de feuillus
230,Forêt mixte
231,Forêt mixte
232,Forêt mixte
